"";"time";"Dist";"Var1";"Var2";"Var3";"Var4"
"28101";0;0,062257280496943;0,1;0,75;0;0,15
"781";0;0,0619341633951656;0,15;0,8;0,05;0
"29401";0;0,06065111219195;0;0,7;0,15;0,15
"421";0;0,0604791197258216;0;1;0;0
"2081";0;0,0602886081905594;0,05;0,75;0,2;0
"9601";0;0,0588362114554162;0,15;0,8;0;0,05
"38221";0;0,0567752820375778;0;0,7;0,1;0,2
"10901";0;0,0566452015385967;0,05;0,75;0,15;0,05
"19721";0;0,0530704010691499;0,05;0,75;0,1;0,1
"47041";0;0,0529726733963974;0;0,7;0,05;0,25
"1221";0;0,0498731968999749;0,1;0,8;0,1;0
"28541";0;0,0495821622675999;0,05;0,75;0,05;0,15
"55861";0;0,0492639586190311;0;0,7;0;0,3
"2521";0;0,047618927127719;0;0,75;0,25;0
"10041";0;0,046679738112344;0,1;0,8;0,05;0,05
"37361";0;0,0462034677198672;0,05;0,75;0;0,2
"9661";0;0,0451918120634826;0;0,95;0;0,05
"11341";0;0,0437915875590538;0;0,75;0,2;0,05
"18861";0;0,0436108992415774;0,1;0,8;0;0,1
"361";0;0,0414186523741696;0,15;0,85;0;0
"841";0;0,0413320081786328;0;0,95;0,05;0
"20161";0;0,0400409196237485;0;0,75;0,15;0,1
"1661";0;0,0373460083410009;0,05;0,8;0,15;0
"28981";0;0,0363951194980348;0;0,75;0,1;0,15
"10481";0;0,0340526955293042;0,05;0,8;0,1;0,05
"37801";0;0,0328940844255586;0;0,75;0,05;0,2
"19301";0;0,0309374026744751;0,05;0,8;0,05;0,1
"401";0;0,0300696348873419;0,05;0,95;0;0
"46621";0;0,0295948595028378;0;0,75;0;0,25
"18901";0;0,0294797032451732;0;0,9;0;0,1
"801";0;0,0294057114584119;0,1;0,85;0,05;0
"28121";0;0,0280645585614363;0,05;0,8;0;0,15
"9621";0;0,0269409846120112;0,1;0,85;0;0,05
"10081";0;0,025509034951733;0;0,9;0,05;0,05
"2101";0;0,02432677335371;0;0,8;0,2;0
"1261";0;0,0215502673841329;0;0,9;0,1;0
"10921";0;0,020929026741163;0;0,8;0,15;0,05
"19741";0;0,0178462105733327;0;0,8;0,1;0,1
"1241";0;0,0172157713981316;0,05;0,85;0,1;0
"9641";0;0,0166105531390666;0,05;0,9;0;0,05
"381";0;0,015343920279169;0,1;0,9;0;0
"10061";0;0,0153307692412606;0,05;0,85;0,05;0,05
"28561";0;0,0152801229939026;0;0,8;0,05;0,15
"28141";0;0,0147657432677088;0;0,85;0;0,15
"18881";0;0,0143277153220526;0,05;0,85;0;0,1
"37381";0;0,0135393002127577;0;0,8;0;0,2
"821";0;0,0133687031172084;0,05;0,9;0,05;0
"19321";0;0,0112805458802687;0;0,85;0,05;0,1
"10501";0;0,00835816003502788;0;0,85;0,1;0,05
"1681";0;0,00675074062600019;0;0,85;0,15;0
"3611";92;0,097601084135316;0,15;0,85;0;0
"8011";92;0,0973416370951567;0,1;0,85;0,05;0
"281211";92;0,0973273612763383;0,05;0,8;0;0,15
"96011";92;0,096723685775148;0,15;0,8;0;0,05
"197411";92;0,0963156282937154;0;0,8;0,1;0,1
"7811";92;0,0956048237053372;0,15;0,8;0,05;0
"188611";92;0,0955719991508914;0,1;0,8;0;0,1
"281011";92;0,0952884036285023;0,1;0,75;0;0,15
"193011";92;0,0949258803913257;0,05;0,8;0,05;0,1
"466211";92;0,0947227724209929;0;0,75;0;0,25
"19281";92;0,0942830267292133;0,1;0,75;0,05;0,1
"46601";92;0,0938697142061024;0,05;0,7;0;0,25
"100411";92;0,093816973748669;0,1;0,8;0,05;0,05
"109211";92;0,0935380420094247;0;0,8;0,15;0,05
"10461";92;0,0934606600479205;0,1;0,75;0,1;0,05
"373611";92;0,0933939324510821;0,05;0,75;0;0,2
"37781";92;0,0930168535224508;0,05;0,7;0,05;0,2
"3361";92;0,0929419325415922;0;0,65;0,35;0
"1641";92;0,0928244874822476;0,1;0,75;0,15;0
"104811";92;0,0926598871092858;0,05;0,8;0,1;0,05
"65101";92;0,0925103907778927;0;0,65;0;0,35
"28961";92;0,0923728351800313;0,05;0,7;0,1;0,15
"378011";92;0,0922664652886844;0;0,75;0,05;0,2
"12211";92;0,0922167588178674;0,1;0,8;0,1;0
"12181";92;0,0921831028292242;0;0,65;0,3;0,05
"20141";92;0,0919400640036434;0,05;0,7;0,15;0,1
"56281";92;0,0918610330637293;0;0,65;0,05;0,3
"11321";92;0,091719560152317;0,05;0,7;0,2;0,05
"2501";92;0,091710902774435;0,05;0,7;0,25;0
"285411";92;0,0916757078510499;0,05;0,75;0,05;0,15
"21001";92;0,0916491391762833;0;0,65;0,25;0,1
"47461";92;0,0914502900093552;0;0,65;0,1;0,25
"29821";92;0,0913462498820027;0;0,65;0,2;0,15
"38641";92;0,0912790243865591;0;0,65;0,15;0,2
"558611";92;0,0910589712732153;0;0,7;0;0,3
"21011";92;0,0908852429520538;0;0,8;0,2;0
"16611";92;0,0905378690684461;0,05;0,8;0,15;0
"197211";92;0,0901369695224537;0,05;0,75;0,1;0,1
"289811";92;0,0899681116734498;0;0,75;0,1;0,15
"470411";92;0,0894057407897912;0;0,7;0,05;0,25
"109011";92;0,0887851761299212;0,05;0,75;0,15;0,05
"382211";92;0,087962386961821;0;0,7;0,1;0,2
"201611";92;0,0878380850700148;0;0,75;0,15;0,1
"20811";92;0,0876270981613624;0,05;0,75;0,2;0
"294011";92;0,0867371387045038;0;0,7;0,15;0,15
"113411";92;0,0858868563746363;0;0,75;0,2;0,05
"20581";92;0,0857370933248863;0;0,7;0,2;0,1
"11761";92;0,0849679500285547;0;0,7;0,25;0,05
"2941";92;0,0844337734325924;0;0,7;0,3;0
"25211";92;0,0841247899321369;0;0,75;0,25;0
"48681";123;0,100694070310262;0,1;0,4;0,25;0,25
"40321";123;0,100407384926814;0;0,45;0,35;0,2
"4581";123;0,100345165006264;0,1;0,4;0,5;0
"75581";123;0,100156437465246;0,05;0,4;0,15;0,4
"39861";123;0,0998675248614446;0,1;0,4;0,3;0,2
"39881";123;0,0997221048239438;0,05;0,45;0,3;0,2
"13401";123;0,0996658379927099;0,1;0,4;0,45;0,05
"31041";123;0,0994210705360019;0,1;0,4;0,35;0,15
"12541";123;0,0993938177390043;0,15;0,45;0,35;0,05
"22221";123;0,0993551306235132;0,1;0,4;0,4;0,1
"30621";123;0,0985545919003284;0,1;0,45;0,3;0,15
"3721";123;0,0981616024827646;0,15;0,45;0,4;0
"66761";123;0,0975112809812679;0,05;0,4;0,2;0,35
"23521";123;0,0972526001866024;0;0,35;0,55;0,1
"102901";123;0,0971643592090038;0;0,35;0,1;0,55
"76021";123;0,0969542939639645;0;0,4;0,2;0,4
"31061";123;0,0961831042523988;0,05;0,45;0,35;0,15
"31501";123;0,0961287208839485;0;0,45;0,4;0,15
"21801";123;0,096031913140545;0,1;0,45;0,35;0,1
"32341";123;0,0953697056753976;0;0,35;0,5;0,15
"94081";123;0,095238423584445;0;0,35;0,15;0,5
"57941";123;0,0952309522971197;0,05;0,4;0,25;0,3
"41161";123;0,0939150429676253;0;0,35;0,45;0,2
"12981";123;0,0938232638960478;0,1;0,45;0,4;0,05
"85261";123;0,0937864886431317;0;0,35;0,2;0,45
"67201";123;0,0934765320464376;0;0,4;0,25;0,35
"49121";123;0,0933367296919679;0,05;0,4;0,3;0,25
"22241";123;0,0929178651470415;0,05;0,45;0,4;0,1
"49981";123;0,0929151582878833;0;0,35;0,4;0,25
"76441";123;0,0928237400752391;0;0,35;0,25;0,4
"58801";123;0,0923913844843231;0;0,35;0,35;0,3
"67621";123;0,0923584917023261;0;0,35;0,3;0,35
"22681";123;0,0920844403275967;0;0,45;0,45;0,1
"4161";123;0,0919469488808795;0,1;0,45;0,45;0
"40301";123;0,0918470268121812;0,05;0,4;0,35;0,2
"31481";123;0,0907762935463506;0,05;0,4;0,4;0,15
"58381";123;0,0903495552446444;0;0,4;0,3;0,3
"5021";123;0,0901440786929579;0,05;0,4;0,55;0
"22661";123;0,0901340302983826;0,05;0,4;0,45;0,1
"13421";123;0,0899514856855619;0,05;0,45;0,45;0,05
"13841";123;0,0899240470410444;0,05;0,4;0,5;0,05
"13861";123;0,0883016666598107;0;0,45;0,5;0,05
"49561";123;0,0876048036232326;0;0,4;0,35;0,25
"4601";123;0,0873096294163711;0,05;0,45;0,5;0
"40741";123;0,0852729805542572;0;0,4;0,4;0,2
"5041";123;0,0848101660988047;0;0,45;0,55;0
"31921";123;0,0833824674316442;0;0,4;0,45;0,15
"23101";123;0,0819575168727866;0;0,4;0,5;0,1
"14281";123;0,081016418396465;0;0,4;0,55;0,05
"5461";123;0,0805698989018486;0;0,4;0,6;0
"40281";396;0,197678543084978;0,1;0,35;0,35;0,2
"226611";396;0,197365476656122;0,05;0,4;0,45;0,1
"76421";396;0,19727646222196;0,05;0,3;0,25;0,4
"103321";396;0,19722317486866;0;0,3;0,15;0,55
"134011";396;0,197172450250759;0,1;0,4;0,45;0,05
"42001";396;0,196942625131055;0;0,25;0,55;0,2
"103741";396;0,196656670876611;0;0,25;0,2;0,55
"676211";396;0,196422424086458;0;0,35;0,3;0,35
"231011";396;0,196088867284458;0;0,4;0,5;0,1
"50821";396;0,196011112847946;0;0,25;0,5;0,25
"31461";396;0,195929698957732;0,1;0,35;0,4;0,15
"94921";396;0,195781084115384;0;0,25;0,25;0,5
"59641";396;0,195365787401944;0;0,25;0,45;0,3
"86101";396;0,195217381441788;0;0,25;0,3;0,45
"68461";396;0,195014281398154;0;0,25;0,4;0,35
"77281";396;0,194963073338229;0;0,25;0,35;0,4
"45811";396;0,194733756959651;0,1;0,4;0,5;0
"94501";396;0,194564523342057;0;0,3;0,2;0,5
"49541";396;0,194504681131105;0,05;0,35;0,35;0,25
"22641";396;0,194394368220984;0,1;0,35;0,45;0,1
"138411";396;0,194367001377896;0,05;0,4;0,5;0,05
"49961";396;0,193524431477491;0,05;0,3;0,4;0,25
"588011";396;0,193251426377958;0;0,35;0,35;0,3
"13821";396;0,193074763549456;0,1;0,35;0,5;0,05
"41141";396;0,192789569601711;0,05;0,3;0,45;0,2
"142811";396;0,192668595443239;0;0,4;0,55;0,05
"5861";396;0,192402542259449;0,05;0,3;0,65;0
"32321";396;0,192312168755574;0,05;0,3;0,5;0,15
"40721";396;0,192186084770248;0,05;0,35;0,4;0,2
"85681";396;0,192165703345823;0;0,3;0,25;0,45
"23501";396;0,192090493901524;0,05;0,3;0,55;0,1
"5001";396;0,191972477549719;0,1;0,35;0,55;0
"50211";396;0,191548165744411;0,05;0,4;0,55;0
"499811";396;0,190294663271248;0;0,35;0,4;0,25
"31901";396;0,190087583928741;0,05;0,35;0,45;0,15
"76861";396;0,190032289895695;0;0,3;0,3;0,4
"54611";396;0,189427549199532;0;0,4;0,6;0
"23081";396;0,188213396593803;0,05;0,35;0,5;0,1
"68041";396;0,18816907526459;0;0,3;0,35;0,35
"411611";396;0,187558846083619;0;0,35;0,45;0,2
"59221";396;0,186579953978701;0;0,3;0,4;0,3
"14261";396;0,186567156271282;0,05;0,35;0,55;0,05
"50401";396;0,185267819024221;0;0,3;0,45;0,25
"323411";396;0,185050356644125;0;0,35;0,5;0,15
"41581";396;0,184234473960986;0;0,3;0,5;0,2
"32761";396;0,183480565237157;0;0,3;0,55;0,15
"6301";396;0,182883826957296;0;0,3;0,7;0
"15121";396;0,182807619628967;0;0,3;0,65;0,05
"235211";396;0,182775143542087;0;0,35;0,55;0,1
"5881";396;0,178945534715348;0;0,35;0,65;0
"42841";426;0,0902367884073988;0;0,15;0,65;0,2
"6241";426;0,0899087218132024;0,15;0,15;0,7;0
"51201";426;0,0896269916649258;0,1;0,1;0,55;0,25
"34001";426;0,0893687496841606;0,05;0,1;0,7;0,15
"157461";426;0,0888256119277346;0,1;0,05;0;0,85
"24321";426;0,0873867496737586;0,1;0,15;0,65;0,1
"25621";426;0,0869827900036282;0;0,1;0,8;0,1
"95301";426;0,0865299258654616;0,1;0,1;0,3;0,5
"33581";426;0,0864123272400696;0,05;0,15;0,65;0,15
"60021";426;0,0861239101857242;0,1;0,1;0,5;0,3
"113381";426;0,0842257404311193;0,05;0,1;0,25;0,6
"86481";426;0,0841093436697226;0,1;0,1;0,35;0,45
"68841";426;0,0839483240987275;0,1;0,1;0,45;0,35
"131881";426;0,0835722929130833;0;0,05;0,25;0,7
"15501";426;0,0833632574734517;0,1;0,15;0,7;0,05
"77661";426;0,0832490684584516;0,1;0,1;0,4;0,4
"140261";426;0,0831962347711706;0,05;0,05;0,15;0,75
"42821";426;0,0829174232404054;0,05;0,1;0,65;0,2
"122641";426;0,0828578402564961;0;0,1;0,25;0,65
"34021";426;0,0824063449494706;0;0,15;0,7;0,15
"24761";426;0,0804518140276665;0,05;0,15;0,7;0,1
"6681";426;0,0804005500481119;0,1;0,15;0,75;0
"34441";426;0,0788468777914965;0;0,1;0,75;0,15
"104561";426;0,0781654273341862;0,05;0,1;0,3;0,55
"51641";426;0,077461787098871;0,05;0,1;0,6;0,25
"149081";426;0,0763068574254584;0,05;0,05;0,1;0,8
"15941";426;0,0754410353836585;0,05;0,15;0,75;0,05
"25201";426;0,0752701402882867;0;0,15;0,75;0,1
"95741";426;0,0735905890010183;0,05;0,1;0,35;0,5
"60461";426;0,0732698966695593;0,05;0,1;0,55;0,3
"140701";426;0,0728281013647803;0;0,05;0,2;0,75
"157901";426;0,0717441270101895;0,05;0,05;0,05;0,85
"7121";426;0,0715510647208068;0,05;0,15;0,8;0
"43261";426;0,0714439419769484;0;0,1;0,7;0,2
"86921";426;0,0707280053173332;0,05;0,1;0,4;0,45
"69281";426;0,0706163221270359;0,05;0,1;0,5;0,35
"166721";426;0,0701699759159488;0,05;0,05;0;0,9
"78101";426;0,0697289684268784;0,05;0,1;0,45;0,4
"16381";426;0,0690125691139266;0;0,15;0,8;0,05
"105001";426;0,0670935280709363;0;0,1;0,35;0,55
"52081";426;0,0650728667888582;0;0,1;0,65;0,25
"7561";426;0,0638595031490313;0;0,15;0,85;0
"149521";426;0,0632984715441228;0;0,05;0,15;0,8
"96181";426;0,0613738981190052;0;0,1;0,4;0,5
"87361";426;0,057607034950147;0;0,1;0,45;0,45
"69721";426;0,0570072755010903;0;0,1;0,55;0,35
"78541";426;0,056114633324825;0;0,1;0,5;0,4
"158341";426;0,0558217043828624;0;0,05;0,1;0,85
"175981";426;0,0515776028234561;0;0,05;0;0,95
"167161";426;0,0515537767058892;0;0,05;0,05;0,9
"121761";457;0,0441919172375032;0,1;0,1;0,15;0,65
"67961";457;0,0439956129328519;0,2;0,1;0,35;0,35
"163811";457;0,043701917200669;0;0,15;0,8;0,05
"4921";457;0,0435832372569075;0,3;0,15;0,55;0
"32261";457;0,0425717667808645;0,2;0,15;0,5;0,15
"247611";457;0,0424916384830479;0,05;0,15;0,7;0,1
"32701";457;0,0417789284409834;0,15;0,15;0,55;0,15
"103241";457;0,0409066408951814;0,2;0,1;0,15;0,55
"23001";457;0,040526175255433;0,25;0,15;0,5;0,1
"600211";457;0,0397448463549988;0,1;0,1;0,5;0,3
"604611";457;0,039017433906185;0,05;0,1;0,55;0,3
"76781";457;0,0382539416736779;0,2;0,1;0,3;0,4
"94421";457;0,0363680744671902;0,2;0,1;0,2;0,5
"14181";457;0,035484942176668;0,25;0,15;0,55;0,05
"85601";457;0,0354390481852935;0,2;0,1;0,25;0,45
"75611";457;0,0352342572923709;0;0,15;0,85;0
"243211";457;0,0349972236936096;0,1;0,15;0,65;0,1
"68401";457;0,0346420699396114;0,15;0,1;0,4;0,35
"1667211";457;0,0344270706676129;0,05;0,05;0;0,9
"1133811";457;0,0343543118783418;0,05;0,1;0,25;0,6
"23441";457;0,0342512273604399;0,2;0,15;0,55;0,1
"1759811";457;0,034232910181918;0;0,05;0;0,95
"1050011";457;0,033928009410616;0;0,1;0,35;0,55
"697211";457;0,0334206354426527;0;0,1;0,55;0,35
"5361";457;0,0327119053440945;0,25;0,15;0,6;0
"159411";457;0,0326519667266889;0,05;0,15;0,75;0,05
"112941";457;0,0321020600485362;0,1;0,1;0,2;0,6
"688411";457;0,0284484197701067;0,1;0,1;0,45;0,35
"103681";457;0,0283852390029021;0,15;0,1;0,2;0,55
"692811";457;0,0278464848977805;0,05;0,1;0,5;0,35
"961811";457;0,0265846672765102;0;0,1;0,4;0,5
"785411";457;0,0264198324103021;0;0,1;0,5;0,4
"77221";457;0,0263413573005572;0,15;0,1;0,35;0,4
"155011";457;0,0247628687439007;0,1;0,15;0,7;0,05
"873611";457;0,0236338436561385;0;0,1;0,45;0,45
"71211";457;0,0233829656934249;0,05;0,15;0,8;0
"1045611";457;0,0227769139961811;0,05;0,1;0,3;0,55
"15061";457;0,0226633915936242;0,15;0,15;0,65;0,05
"5801";457;0,0223606844587869;0,2;0,15;0,65;0
"94861";457;0,0220797119756566;0,15;0,1;0,25;0,5
"86041";457;0,021292451294862;0,15;0,1;0,3;0,45
"104121";457;0,0203412710287289;0,1;0,1;0,25;0,55
"776611";457;0,0172961197608841;0,1;0,1;0,4;0,4
"781011";457;0,0171304677043454;0,05;0,1;0,45;0,4
"66811";457;0,0146069255337498;0,1;0,15;0,75;0
"62411";457;0,0143878089413478;0,15;0,15;0,7;0
"957411";457;0,0125132354126052;0,05;0,1;0,35;0,5
"953011";457;0,00962048041490772;0,1;0,1;0,3;0,5
"869211";457;0,00918640120691922;0,05;0,1;0,4;0,45
"864811";457;0,00757414811657952;0,1;0,1;0,35;0,45
"20361";488;0,0643661641143059;0,55;0,15;0,2;0,1
"92661";488;0,0639412105907829;0,4;0,1;0;0,5
"38861";488;0,0638864895140556;0,5;0,1;0,2;0,2
"10641";488;0,0637894615764147;0,7;0,1;0,15;0,05
"83841";488;0,0632050225541765;0,4;0,1;0,05;0,45
"29601";488;0,0631673829433829;0,55;0,1;0,2;0,15
"37121";488;0,0628576763831525;0,65;0,15;0;0,2
"9761";488;0,0610656133299848;0,8;0,1;0,05;0,05
"10201";488;0,0608313125122573;0,75;0,1;0,1;0,05
"11541";488;0,0602299765726614;0,55;0,15;0,25;0,05
"56941";488;0,0598279336468474;0,45;0,1;0,15;0,3
"2721";488;0,0576005608532237;0,55;0,15;0,3;0
"19901";488;0,0575840350427959;0,65;0,1;0,15;0,1
"28301";488;0,0544518299801369;0,65;0,15;0,05;0,15
"47681";488;0,0540523837242904;0,5;0,1;0,15;0,25
"18581";488;0,0536494858907613;0,8;0,1;0;0,1
"65761";488;0,0535015122487413;0,45;0,1;0,1;0,35
"19461";488;0,052555937466369;0,7;0,1;0,1;0,1
"38421";488;0,0519225193488395;0,55;0,1;0,15;0,2
"19021";488;0,051075406989813;0,75;0,1;0,05;0,1
"27861";488;0,0503681153558705;0,7;0,15;0;0,15
"74581";488;0,0494024182579441;0,45;0,1;0,05;0,4
"83401";488;0,0482383887889582;0,45;0,1;0;0,45
"19481";488;0,0468705412996305;0,65;0,15;0,1;0,1
"2281";488;0,046419986680872;0,6;0,15;0,25;0
"28721";488;0,0456615195338026;0,65;0,1;0,1;0,15
"56501";488;0,045160921472671;0,5;0,1;0,1;0,3
"27841";488;0,0424869679919554;0,75;0,1;0;0,15
"28281";488;0,041613292153415;0,7;0,1;0,05;0,15
"19041";488;0,0414750899097244;0,7;0,15;0,05;0,1
"37981";488;0,0413233478981188;0,6;0,1;0,1;0,2
"47241";488;0,0409267313489462;0,55;0,1;0,1;0,25
"10661";488;0,0405028721485679;0,65;0,15;0,15;0,05
"18601";488;0,0396388051291355;0,75;0,15;0;0,1
"65321";488;0,0380434905809775;0,5;0,1;0,05;0,35
"1841";488;0,0359168209123312;0,65;0,15;0,2;0
"74141";488;0,0340311448543953;0,5;0,1;0;0,4
"37541";488;0,0336592907171401;0,65;0,1;0,05;0,2
"10221";488;0,0334177722037952;0,7;0,15;0,1;0,05
"9341";488;0,0316507861051205;0,8;0,15;0;0,05
"37101";488;0,0314827895194604;0,7;0,1;0;0,2
"56061";488;0,0306531185406904;0,55;0,1;0,05;0,3
"9781";488;0,0300612362697281;0,75;0,15;0,05;0,05
"46801";488;0,0292092676564542;0,6;0,1;0,05;0,25
"81";488;0,0279812936345432;0,85;0,15;0;0
"1401";488;0,0268424250982184;0,7;0,15;0,15;0
"64881";488;0,0224263192937494;0,55;0,1;0;0,35
"46361";488;0,021752700109877;0,65;0,1;0;0,25
"521";488;0,0215717858517125;0,8;0,15;0,05;0
"961";488;0,0211033053151945;0,75;0,15;0,1;0
"741411";547;0,0497479744867751;0,5;0,1;0;0,4
"4021";547;0,0496523129209723;0,45;0,1;0,45;0
"22541";547;0,0491582962308852;0,35;0,1;0,45;0,1
"101901";547;0,0487972833171223;0,4;0,05;0;0,55
"75021";547;0,0475619477587031;0,4;0,1;0,1;0,4
"13281";547;0,047259423226245;0,4;0,1;0,45;0,05
"2261";547;0,0470717027989054;0,65;0,1;0,25;0
"745811";547;0,0460640098467876;0,45;0,1;0,05;0,4
"66641";547;0,0459152172028593;0,35;0,1;0,2;0,35
"648811";547;0,0458285273120462;0,55;0,1;0;0,35
"375411";547;0,0448550062110111;0,65;0,1;0,05;0,2
"3581";547;0,0441764022809335;0,5;0,1;0,4;0
"31361";547;0,0427034203488257;0,35;0,1;0,4;0,15
"11081";547;0,0419534228720796;0,65;0,1;0,2;0,05
"3141";547;0,0416051652882213;0,55;0,1;0,35;0
"287211";547;0,0405781334062889;0,65;0,1;0,1;0,15
"57821";547;0,0402474436666568;0,35;0,1;0,25;0,3
"199011";547;0,0395804751494426;0,65;0,1;0,15;0,1
"12841";547;0,0388345044686686;0,45;0,1;0,4;0,05
"40181";547;0,0385637530787224;0,35;0,1;0,35;0,2
"22101";547;0,0380007351868281;0,4;0,1;0,4;0,1
"49001";547;0,0376315957466251;0,35;0,1;0,3;0,25
"66201";547;0,0376172617210213;0,4;0,1;0,15;0,35
"468011";547;0,0375707099360152;0,6;0,1;0,05;0,25
"653211";547;0,0374803792863046;0,5;0,1;0,05;0,35
"11521";547;0,0346681648163705;0,6;0,1;0,25;0,05
"560611";547;0,034498851559311;0,55;0,1;0,05;0,3
"657611";547;0,0343385647816231;0,45;0,1;0,1;0,35
"12401";547;0,0329866106418835;0,5;0,1;0,35;0,05
"11961";547;0,031342060356838;0,55;0,1;0,3;0,05
"379811";547;0,0306196472159767;0,6;0,1;0,1;0,2
"30921";547;0,0300594734742048;0,4;0,1;0,35;0,15
"57381";547;0,02943497065895;0,4;0,1;0,2;0,3
"20341";547;0,0290563576614549;0,6;0,1;0,2;0,1
"21661";547;0,0281627249770942;0,45;0,1;0,35;0,1
"565011";547;0,0253976224987453;0,5;0,1;0,1;0,3
"39741";547;0,024916435040845;0,4;0,1;0,3;0,2
"48561";547;0,0245999014532638;0,4;0,1;0,25;0,25
"472411";547;0,0241998663971188;0,55;0,1;0,1;0,25
"569411";547;0,0232358831955227;0,45;0,1;0,15;0,3
"20781";547;0,0219828115122979;0,55;0,1;0,25;0,1
"21221";547;0,0216781969848318;0,5;0,1;0,3;0,1
"30481";547;0,0181446854744657;0,45;0,1;0,3;0,15
"384211";547;0,0165551525763239;0,55;0,1;0,15;0,2
"296011";547;0,0156095536897497;0,55;0,1;0,2;0,15
"48121";547;0,0138728554916647;0,45;0,1;0,2;0,25
"476811";547;0,0135326237228379;0,5;0,1;0,15;0,25
"39301";547;0,0112121950282485;0,45;0,1;0,25;0,2
"30041";547;0,010313600355016;0,5;0,1;0,25;0,15
"388611";547;0,00269745055758028;0,5;0,1;0,2;0,2
"16361";730;0,0570657205130242;0,05;0,1;0,8;0,05
"14601";730;0,0551500451130973;0,25;0,1;0,6;0,05
"7981";730;0,0538012963732021;0;0,1;0,9;0
"84701";730;0,0535991108990097;0,35;0,05;0,15;0,45
"60001";730;0,0528397513465289;0,15;0,05;0,5;0,3
"67061";730;0,0519438516988708;0,35;0,05;0,25;0,35
"15921";730;0,0518309703974832;0,1;0,1;0,75;0,05
"78521";730;0,0515429576435753;0,05;0,05;0,5;0,4
"102781";730;0,051490518323424;0,3;0,05;0,1;0,55
"15041";730;0,0509391946786799;0,2;0,1;0,65;0,05
"75881";730;0,0508150048724598;0,35;0,05;0,2;0,4
"121301";730;0,0507996157289036;0,2;0,05;0,1;0,65
"15481";730;0,0497192027346254;0,15;0,1;0,7;0,05
"69261";730;0,0491293483146672;0,1;0,05;0,5;0,35
"122181";730;0,0490376149604254;0,1;0,05;0,2;0,65
"112041";730;0,0477272484726877;0,25;0,05;0,1;0,6
"59561";730;0,0477068795577885;0,2;0,05;0,45;0,3
"59121";730;0,0463864796036498;0,25;0,05;0,4;0,3
"121741";730;0,0461213972027992;0,15;0,05;0,15;0,65
"5781";730;0,0459853935069459;0,25;0,1;0,65;0
"7541";730;0,0456317790535591;0,05;0,1;0,85;0
"87341";730;0,0452091929977119;0,05;0,05;0,45;0,45
"104981";730;0,0438680100476766;0,05;0,05;0,35;0,55
"96161";730;0,04236030375289;0,05;0,05;0,4;0,5
"93961";730;0,0422673393643133;0,3;0,05;0,15;0,5
"6221";730;0,0405774102590545;0,2;0,1;0,7;0
"7101";730;0,0402087294135739;0,1;0,1;0,8;0
"68821";730;0,0400074096780834;0,15;0,05;0,45;0,35
"78081";730;0,0385186207956314;0,1;0,05;0,45;0,4
"6661";730;0,0384289414619143;0,15;0,1;0,75;0
"113361";730;0,037632496597996;0,1;0,05;0,25;0,6
"85141";730;0,0368658091310692;0,3;0,05;0,2;0,45
"76321";730;0,0366396345573412;0,3;0,05;0,25;0,4
"103221";730;0,0350972948633086;0,25;0,05;0,15;0,55
"67941";730;0,0349800252091744;0,25;0,05;0,35;0,35
"68381";730;0,0345842160906011;0,2;0,05;0,4;0,35
"86901";730;0,0300337903174193;0,1;0,05;0,4;0,45
"104541";730;0,0291532815686898;0,1;0,05;0,3;0,55
"77641";730;0,0272937852713798;0,15;0,05;0,4;0,4
"95721";730;0,0261707487870108;0,1;0,05;0,35;0,5
"76761";730;0,0254330657096263;0,25;0,05;0,3;0,4
"94401";730;0,0250653449917167;0,25;0,05;0,2;0,5
"103661";730;0,0219348599179834;0,2;0,05;0,2;0,55
"77201";730;0,0213993634947943;0,2;0,05;0,35;0,4
"85581";730;0,0210044255528908;0,25;0,05;0,25;0,45
"104101";730;0,0190499380982139;0,15;0,05;0,25;0,55
"86461";730;0,0155364576948466;0,15;0,05;0,35;0,45
"95281";730;0,0103727558596047;0,15;0,05;0,3;0,5
"94841";730;0,00894638783181342;0,2;0,05;0,25;0,5
"86021";730;0,00891164120632489;0,2;0,05;0,3;0,45
